1000,1,8692
1000,10,8678
1000,100,8619
1000,1000,8604
1000,10000,8604
1000,100000,8604
10000,1,120378
10000,10,119986
10000,100,119268
10000,1000,119023
10000,10000,119029
10000,100000,119029
100000,1,1536274
100000,10,1534524
100000,100,1525328
100000,1000,1523361
100000,10000,1522614
100000,100000,1522928
1000000,1,18674537
1000000,10,18655804
1000000,100,18582881
1000000,1000,18551957
1000000,10000,18548629
1000000,100000,18547696
10000000,1,220097046
10000000,10,219667777
10000000,100,218948662
10000000,1000,218706248
10000000,10000,218647674
10000000,100000,218644940
