Execution Time (seconds),V,E,Algorithm
1.3113021850585938e-05,1,0,dijkstra_a
8.344650268554688e-06,1,0,dijkstra_b
2.8133392333984375e-05,1,0,dijkstra_a
4.0531158447265625e-06,1,0,dijkstra_b
4.5299530029296875e-06,1,0,dijkstra_a
2.86102294921875e-06,1,0,dijkstra_b
4.76837158203125e-06,1,0,dijkstra_a
2.6226043701171875e-06,1,0,dijkstra_b
3.814697265625e-06,1,0,dijkstra_a
2.86102294921875e-06,1,0,dijkstra_b
4.0531158447265625e-06,1,0,dijkstra_a
2.6226043701171875e-06,1,0,dijkstra_b
4.5299530029296875e-06,1,0,dijkstra_a
3.337860107421875e-06,1,0,dijkstra_b
3.814697265625e-06,1,0,dijkstra_a
3.337860107421875e-06,1,0,dijkstra_b
4.5299530029296875e-06,1,0,dijkstra_a
2.86102294921875e-06,1,0,dijkstra_b
3.337860107421875e-06,1,0,dijkstra_a
2.86102294921875e-06,1,0,dijkstra_b
0.00022912025451660156,10,23,dijkstra_a
4.1484832763671875e-05,10,23,dijkstra_b
0.011362075805664062,10,24,dijkstra_a
5.14984130859375e-05,10,24,dijkstra_b
0.00021839141845703125,10,27,dijkstra_a
3.695487976074219e-05,10,27,dijkstra_b
0.0002655982971191406,10,21,dijkstra_a
4.7206878662109375e-05,10,21,dijkstra_b
0.011303186416625977,10,23,dijkstra_a
5.2928924560546875e-05,10,23,dijkstra_b
0.00017452239990234375,10,27,dijkstra_a
3.24249267578125e-05,10,27,dijkstra_b
0.00020122528076171875,10,23,dijkstra_a
3.218650817871094e-05,10,23,dijkstra_b
0.00017786026000976562,10,21,dijkstra_a
3.147125244140625e-05,10,21,dijkstra_b
0.00018286705017089844,10,26,dijkstra_a
3.0040740966796875e-05,10,26,dijkstra_b
0.00020647048950195312,10,25,dijkstra_a
3.528594970703125e-05,10,25,dijkstra_b
0.045890092849731445,100,2474,dijkstra_a
0.017690658569335938,100,2474,dijkstra_b
0.009416818618774414,100,2498,dijkstra_a
0.0014646053314208984,100,2498,dijkstra_b
0.009386062622070312,100,2446,dijkstra_a
0.0011854171752929688,100,2446,dijkstra_b
0.010474443435668945,100,2482,dijkstra_a
0.024750232696533203,100,2482,dijkstra_b
0.03843331336975098,100,2492,dijkstra_a
0.013968467712402344,100,2492,dijkstra_b
0.04691457748413086,100,2462,dijkstra_a
0.018488645553588867,100,2462,dijkstra_b
0.027019262313842773,100,2490,dijkstra_a
0.0015223026275634766,100,2490,dijkstra_b
0.02101588249206543,100,2425,dijkstra_a
0.006693363189697266,100,2425,dijkstra_b
0.014786720275878906,100,2479,dijkstra_a
0.008512735366821289,100,2479,dijkstra_b
0.00886082649230957,100,2448,dijkstra_a
0.000858306884765625,100,2448,dijkstra_b
0.4614706039428711,1000,250184,dijkstra_a
0.09122872352600098,1000,250184,dijkstra_b
0.4986691474914551,1000,250094,dijkstra_a
0.09724092483520508,1000,250094,dijkstra_b
0.5129714012145996,1000,249409,dijkstra_a
0.08474111557006836,1000,249409,dijkstra_b
0.5152988433837891,1000,249964,dijkstra_a
0.08582830429077148,1000,249964,dijkstra_b
0.5090005397796631,1000,249405,dijkstra_a
0.0857694149017334,1000,249405,dijkstra_b
0.5292689800262451,1000,249449,dijkstra_a
0.09205889701843262,1000,249449,dijkstra_b
0.5011699199676514,1000,249588,dijkstra_a
0.08980202674865723,1000,249588,dijkstra_b
0.4997103214263916,1000,249093,dijkstra_a
0.08488130569458008,1000,249093,dijkstra_b
0.9532053470611572,1000,249746,dijkstra_a
0.13893961906433105,1000,249746,dijkstra_b
0.6675591468811035,1000,249589,dijkstra_a
0.10099244117736816,1000,249589,dijkstra_b
0.001512289047241211,50,618,dijkstra_a
0.0002532005310058594,50,618,dijkstra_b
0.0014445781707763672,50,623,dijkstra_a
0.00022649765014648438,50,623,dijkstra_b
0.0014796257019042969,50,606,dijkstra_a
0.00022745132446289062,50,606,dijkstra_b
0.0014362335205078125,50,587,dijkstra_a
0.00021505355834960938,50,587,dijkstra_b
0.0014736652374267578,50,629,dijkstra_a
0.0002465248107910156,50,629,dijkstra_b
0.0015058517456054688,50,621,dijkstra_a
0.0002503395080566406,50,621,dijkstra_b
0.0014405250549316406,50,590,dijkstra_a
0.00021791458129882812,50,590,dijkstra_b
0.0014886856079101562,50,598,dijkstra_a
0.000209808349609375,50,598,dijkstra_b
0.0014543533325195312,50,609,dijkstra_a
0.0002129077911376953,50,609,dijkstra_b
0.0014710426330566406,50,597,dijkstra_a
0.0001995563507080078,50,597,dijkstra_b
0.0293731689453125,250,15572,dijkstra_a
0.0052661895751953125,250,15572,dijkstra_b
0.028532743453979492,250,15605,dijkstra_a
0.004506349563598633,250,15605,dijkstra_b
0.028584003448486328,250,15611,dijkstra_a
0.0048980712890625,250,15611,dijkstra_b
0.029471158981323242,250,15653,dijkstra_a
0.004771709442138672,250,15653,dijkstra_b
0.030011415481567383,250,15538,dijkstra_a
0.004868507385253906,250,15538,dijkstra_b
0.028532028198242188,250,15649,dijkstra_a
0.006035327911376953,250,15649,dijkstra_b
0.02846980094909668,250,15556,dijkstra_a
0.004893302917480469,250,15556,dijkstra_b
0.02842569351196289,250,15653,dijkstra_a
0.004868030548095703,250,15653,dijkstra_b
0.028530597686767578,250,15535,dijkstra_a
0.004721403121948242,250,15535,dijkstra_b
0.030407428741455078,250,15539,dijkstra_a
0.005210399627685547,250,15539,dijkstra_b
0.1323871612548828,500,62336,dijkstra_a
0.021759986877441406,500,62336,dijkstra_b
0.11324214935302734,500,62508,dijkstra_a
0.02040696144104004,500,62508,dijkstra_b
0.11505246162414551,500,62355,dijkstra_a
0.020835399627685547,500,62355,dijkstra_b
0.12428593635559082,500,62323,dijkstra_a
0.02278923988342285,500,62323,dijkstra_b
0.13367605209350586,500,62269,dijkstra_a
0.02141284942626953,500,62269,dijkstra_b
0.11546063423156738,500,62288,dijkstra_a
0.023311614990234375,500,62288,dijkstra_b
0.11265230178833008,500,62481,dijkstra_a
0.02120518684387207,500,62481,dijkstra_b
0.12525486946105957,500,62253,dijkstra_a
0.02183842658996582,500,62253,dijkstra_b
0.12049674987792969,500,62193,dijkstra_a
0.020856618881225586,500,62193,dijkstra_b
0.11695623397827148,500,62159,dijkstra_a
0.02144026756286621,500,62159,dijkstra_b
0.27194881439208984,750,140425,dijkstra_a
0.06119418144226074,750,140425,dijkstra_b
0.2574293613433838,750,140333,dijkstra_a
0.05206108093261719,750,140333,dijkstra_b
0.29140233993530273,750,140679,dijkstra_a
0.051636457443237305,750,140679,dijkstra_b
0.2787513732910156,750,140351,dijkstra_a
0.05225968360900879,750,140351,dijkstra_b
0.2753169536590576,750,140725,dijkstra_a
0.05236673355102539,750,140725,dijkstra_b
0.286344051361084,750,140290,dijkstra_a
0.05082368850708008,750,140290,dijkstra_b
0.27532339096069336,750,140601,dijkstra_a
0.05041313171386719,750,140601,dijkstra_b
0.286362886428833,750,140478,dijkstra_a
0.05033731460571289,750,140478,dijkstra_b
0.2906534671783447,750,140281,dijkstra_a
0.05059170722961426,750,140281,dijkstra_b
0.532031774520874,750,140334,dijkstra_a
0.07889294624328613,750,140334,dijkstra_b
