Edge Probability,E,Execution Time (seconds),Algorithm
0.1,133,0.0017566680908203125,dijkstra_a
0.1,121,0.0017273426055908203,dijkstra_a
0.1,119,0.0019199848175048828,dijkstra_a
0.1,119,0.0016417503356933594,dijkstra_a
0.1,133,0.0016658306121826172,dijkstra_a
0.1,116,0.001850128173828125,dijkstra_a
0.1,123,0.0017011165618896484,dijkstra_a
0.1,129,0.0016753673553466797,dijkstra_a
0.1,145,0.001678466796875,dijkstra_a
0.1,130,0.0017659664154052734,dijkstra_a
0.2,222,0.001539468765258789,dijkstra_a
0.2,252,0.0014672279357910156,dijkstra_a
0.2,242,0.0017685890197753906,dijkstra_a
0.2,243,0.001489877700805664,dijkstra_a
0.2,248,0.001535654067993164,dijkstra_a
0.2,255,0.0015416145324707031,dijkstra_a
0.2,256,0.0014772415161132812,dijkstra_a
0.2,233,0.0015473365783691406,dijkstra_a
0.2,226,0.0014994144439697266,dijkstra_a
0.2,233,0.0014920234680175781,dijkstra_a
0.30000000000000004,360,0.0014653205871582031,dijkstra_a
0.30000000000000004,347,0.0013880729675292969,dijkstra_a
0.30000000000000004,372,0.0014181137084960938,dijkstra_a
0.30000000000000004,369,0.0014576911926269531,dijkstra_a
0.30000000000000004,354,0.0014622211456298828,dijkstra_a
0.30000000000000004,328,0.0014362335205078125,dijkstra_a
0.30000000000000004,346,0.0014531612396240234,dijkstra_a
0.30000000000000004,388,0.0014128684997558594,dijkstra_a
0.30000000000000004,374,0.0014886856079101562,dijkstra_a
0.30000000000000004,379,0.0013744831085205078,dijkstra_a
0.4,483,0.0014414787292480469,dijkstra_a
0.4,495,0.0014531612396240234,dijkstra_a
0.4,470,0.0014276504516601562,dijkstra_a
0.4,502,0.001428365707397461,dijkstra_a
0.4,519,0.0014300346374511719,dijkstra_a
0.4,510,0.0014407634735107422,dijkstra_a
0.4,488,0.0014259815216064453,dijkstra_a
0.4,501,0.0014352798461914062,dijkstra_a
0.4,472,0.0013909339904785156,dijkstra_a
0.4,507,0.0014801025390625,dijkstra_a
0.5,605,0.0014324188232421875,dijkstra_a
0.5,591,0.001455545425415039,dijkstra_a
0.5,609,0.001535654067993164,dijkstra_a
0.5,605,0.0022852420806884766,dijkstra_a
0.5,591,0.0014438629150390625,dijkstra_a
0.5,617,0.0014643669128417969,dijkstra_a
0.5,599,0.0014815330505371094,dijkstra_a
0.5,600,0.001413106918334961,dijkstra_a
0.5,645,0.001447916030883789,dijkstra_a
0.5,604,0.0014791488647460938,dijkstra_a
0.6000000000000001,709,0.0014874935150146484,dijkstra_a
0.6000000000000001,730,0.0014719963073730469,dijkstra_a
0.6000000000000001,727,0.0014548301696777344,dijkstra_a
0.6000000000000001,759,0.0014920234680175781,dijkstra_a
0.6000000000000001,733,0.0014848709106445312,dijkstra_a
0.6000000000000001,746,0.0015001296997070312,dijkstra_a
0.6000000000000001,730,0.001505136489868164,dijkstra_a
0.6000000000000001,752,0.0014901161193847656,dijkstra_a
0.6000000000000001,739,0.0015263557434082031,dijkstra_a
0.6000000000000001,768,0.0014524459838867188,dijkstra_a
0.7000000000000001,860,0.0017268657684326172,dijkstra_a
0.7000000000000001,858,0.0015349388122558594,dijkstra_a
0.7000000000000001,859,0.0015325546264648438,dijkstra_a
0.7000000000000001,864,0.0015091896057128906,dijkstra_a
0.7000000000000001,868,0.0015060901641845703,dijkstra_a
0.7000000000000001,868,0.0015244483947753906,dijkstra_a
0.7000000000000001,874,0.0015971660614013672,dijkstra_a
0.7000000000000001,869,0.0015022754669189453,dijkstra_a
0.7000000000000001,865,0.0015528202056884766,dijkstra_a
0.7000000000000001,875,0.0014903545379638672,dijkstra_a
0.8,970,0.001508474349975586,dijkstra_a
0.8,983,0.0018117427825927734,dijkstra_a
0.8,990,0.0015859603881835938,dijkstra_a
0.8,968,0.0015156269073486328,dijkstra_a
0.8,958,0.0015349388122558594,dijkstra_a
0.8,988,0.0015032291412353516,dijkstra_a
0.8,990,0.0015149116516113281,dijkstra_a
0.8,984,0.00160980224609375,dijkstra_a
0.8,1020,0.0015268325805664062,dijkstra_a
0.8,951,0.0015072822570800781,dijkstra_a
0.9,1099,0.0015609264373779297,dijkstra_a
0.9,1115,0.0015399456024169922,dijkstra_a
0.9,1107,0.0026464462280273438,dijkstra_a
0.9,1112,0.0015642642974853516,dijkstra_a
0.9,1108,0.0015368461608886719,dijkstra_a
0.9,1105,0.0015568733215332031,dijkstra_a
0.9,1094,0.001646280288696289,dijkstra_a
0.9,1110,0.0015652179718017578,dijkstra_a
0.9,1094,0.0015251636505126953,dijkstra_a
0.9,1097,0.0015261173248291016,dijkstra_a
0.1,133,0.00012087821960449219,dijkstra_b
0.1,121,9.799003601074219e-05,dijkstra_b
0.1,119,9.512901306152344e-05,dijkstra_b
0.1,119,0.00010275840759277344,dijkstra_b
0.1,133,0.00010037422180175781,dijkstra_b
0.1,116,9.1552734375e-05,dijkstra_b
0.1,123,9.703636169433594e-05,dijkstra_b
0.1,129,0.00010085105895996094,dijkstra_b
0.1,145,0.00010061264038085938,dijkstra_b
0.1,130,9.632110595703125e-05,dijkstra_b
0.2,222,0.00012230873107910156,dijkstra_b
0.2,252,0.00018668174743652344,dijkstra_b
0.2,242,0.0001327991485595703,dijkstra_b
0.2,243,0.0001323223114013672,dijkstra_b
0.2,248,0.00020933151245117188,dijkstra_b
0.2,255,0.0001308917999267578,dijkstra_b
0.2,256,0.00013685226440429688,dijkstra_b
0.2,233,0.00012183189392089844,dijkstra_b
0.2,226,0.000133514404296875,dijkstra_b
0.2,233,0.00013017654418945312,dijkstra_b
0.30000000000000004,360,0.00016498565673828125,dijkstra_b
0.30000000000000004,347,0.0001456737518310547,dijkstra_b
0.30000000000000004,372,0.00020503997802734375,dijkstra_b
0.30000000000000004,369,0.00015926361083984375,dijkstra_b
0.30000000000000004,354,0.00015354156494140625,dijkstra_b
0.30000000000000004,328,0.00015544891357421875,dijkstra_b
0.30000000000000004,346,0.00014734268188476562,dijkstra_b
0.30000000000000004,388,0.0001494884490966797,dijkstra_b
0.30000000000000004,374,0.00015878677368164062,dijkstra_b
0.30000000000000004,379,0.0001513957977294922,dijkstra_b
0.4,483,0.00019240379333496094,dijkstra_b
0.4,495,0.00018525123596191406,dijkstra_b
0.4,470,0.0002002716064453125,dijkstra_b
0.4,502,0.00020003318786621094,dijkstra_b
0.4,519,0.0001900196075439453,dijkstra_b
0.4,510,0.00017905235290527344,dijkstra_b
0.4,488,0.0001857280731201172,dijkstra_b
0.4,501,0.00017380714416503906,dijkstra_b
0.4,472,0.00019478797912597656,dijkstra_b
0.4,507,0.00019621849060058594,dijkstra_b
0.5,605,0.00020313262939453125,dijkstra_b
0.5,591,0.00019741058349609375,dijkstra_b
0.5,609,0.0002143383026123047,dijkstra_b
0.5,605,0.0002636909484863281,dijkstra_b
0.5,591,0.0002434253692626953,dijkstra_b
0.5,617,0.0002193450927734375,dijkstra_b
0.5,599,0.00021219253540039062,dijkstra_b
0.5,600,0.00019884109497070312,dijkstra_b
0.5,645,0.0002319812774658203,dijkstra_b
0.5,604,0.00019741058349609375,dijkstra_b
0.6000000000000001,709,0.0002410411834716797,dijkstra_b
0.6000000000000001,730,0.00024771690368652344,dijkstra_b
0.6000000000000001,727,0.0002295970916748047,dijkstra_b
0.6000000000000001,759,0.00024509429931640625,dijkstra_b
0.6000000000000001,733,0.00022339820861816406,dijkstra_b
0.6000000000000001,746,0.00021576881408691406,dijkstra_b
0.6000000000000001,730,0.00022411346435546875,dijkstra_b
0.6000000000000001,752,0.00022554397583007812,dijkstra_b
0.6000000000000001,739,0.00024127960205078125,dijkstra_b
0.6000000000000001,768,0.00023555755615234375,dijkstra_b
0.7000000000000001,860,0.0003342628479003906,dijkstra_b
0.7000000000000001,858,0.0002484321594238281,dijkstra_b
0.7000000000000001,859,0.0002522468566894531,dijkstra_b
0.7000000000000001,864,0.00025963783264160156,dijkstra_b
0.7000000000000001,868,0.00025963783264160156,dijkstra_b
0.7000000000000001,868,0.000286102294921875,dijkstra_b
0.7000000000000001,874,0.0002675056457519531,dijkstra_b
0.7000000000000001,869,0.0002655982971191406,dijkstra_b
0.7000000000000001,865,0.0002593994140625,dijkstra_b
0.7000000000000001,875,0.0002560615539550781,dijkstra_b
0.8,970,0.00026679039001464844,dijkstra_b
0.8,983,0.0003018379211425781,dijkstra_b
0.8,990,0.00029730796813964844,dijkstra_b
0.8,968,0.00029397010803222656,dijkstra_b
0.8,958,0.00026535987854003906,dijkstra_b
0.8,988,0.00026798248291015625,dijkstra_b
0.8,990,0.0002758502960205078,dijkstra_b
0.8,984,0.0002865791320800781,dijkstra_b
0.8,1020,0.0002799034118652344,dijkstra_b
0.8,951,0.00024390220642089844,dijkstra_b
0.9,1099,0.00032401084899902344,dijkstra_b
0.9,1115,0.0002911090850830078,dijkstra_b
0.9,1107,0.0005440711975097656,dijkstra_b
0.9,1112,0.0003116130828857422,dijkstra_b
0.9,1108,0.0002961158752441406,dijkstra_b
0.9,1105,0.0002694129943847656,dijkstra_b
0.9,1094,0.0003402233123779297,dijkstra_b
0.9,1110,0.0002849102020263672,dijkstra_b
0.9,1094,0.0003209114074707031,dijkstra_b
0.9,1097,0.00029587745666503906,dijkstra_b
